ds,cpu,memory,machines_reporting
2018-01-01 00:00:00,16.53968253968254,89.0,12
2018-01-01 00:05:00,28.883333333333336,91.74166666666666,10
2018-01-01 00:10:00,27.925,90.35166666666666,10
2018-01-01 00:15:00,34.99259259259259,92.18518518518518,9
2018-01-01 00:20:00,28.375,91.99666666666666,10
2018-01-01 00:25:00,29.90909090909091,93.12121212121214,11
2018-01-01 00:30:00,27.421626984126988,89.15128968253968,12
2018-01-01 00:35:00,19.354545454545455,85.80454545454545,11
2018-01-01 00:40:00,25.125,88.82738095238095,14
2018-01-01 00:45:00,23.87121212121212,87.60606060606061,11
2018-01-01 00:50:00,25.403846153846153,88.57051282051283,13
2018-01-01 00:55:00,22.720068027210885,88.61173469387755,14
2018-01-01 01:00:00,26.855128205128207,90.62948717948717,13
2018-01-01 01:05:00,24.656410256410254,90.45384615384616,13
2018-01-01 01:10:00,18.338492063492062,87.0436507936508,12
2018-01-01 01:15:00,31.193589743589747,90.45604395604394,13
2018-01-01 01:20:00,34.33297258297258,86.63744588744588,11
2018-01-01 01:25:00,35.99285714285714,85.38311688311688,11
2018-01-01 01:30:00,40.704545454545446,85.70454545454544,11
2018-01-01 01:35:00,32.90277777777778,84.03055555555555,12
2018-01-01 01:40:00,28.315277777777776,82.98194444444445,12
2018-01-01 01:45:00,29.057692307692307,84.27948717948718,13
2018-01-01 01:50:00,31.27179487179487,85.34423076923076,13
2018-01-01 01:55:00,27.38111111111111,83.52555555555556,15
2018-01-01 02:00:00,32.51603174603174,84.88031746031746,15
2018-01-01 02:05:00,27.432539682539687,85.4484126984127,14
2018-01-01 02:10:00,30.815476190476197,85.93452380952381,14
2018-01-01 02:15:00,34.282222222222224,84.68555555555555,15
2018-01-01 02:20:00,27.932142857142857,82.44268707482993,14
2018-01-01 02:25:00,27.372549019607845,83.74117647058824,17
2018-01-01 02:30:00,32.013888888888886,83.32222222222222,15
2018-01-01 02:35:00,26.62535014005602,82.54201680672269,17
2018-01-01 02:40:00,26.551041666666666,82.43645833333333,16
2018-01-01 02:45:00,28.08974358974359,82.24358974358975,13
2018-01-01 02:50:00,28.316666666666666,83.22666666666667,15
2018-01-01 02:55:00,24.386111111111113,83.5138888888889,15
2018-01-01 03:00:00,30.845238095238095,84.78333333333333,14
2018-01-01 03:05:00,26.92666666666667,85.1511111111111,15
2018-01-01 03:10:00,27.240624999999998,83.51770833333333,16
2018-01-01 03:15:00,25.867460317460317,82.85873015873015,15
2018-01-01 03:20:00,27.416666666666664,83.13095238095238,14
2018-01-01 03:25:00,34.34107142857143,86.7577380952381,12
2018-01-01 03:30:00,28.707142857142856,84.17930402930402,13
2018-01-01 03:35:00,24.784523809523808,82.22857142857143,14
2018-01-01 03:40:00,32.343162393162395,84.3025641025641,13
2018-01-01 03:45:00,30.895833333333332,85.70277777777778,12
2018-01-01 03:50:00,32.951190476190476,85.61190476190477,12
2018-01-01 03:55:00,34.10714285714286,86.27777777777777,9
2018-01-01 04:00:00,31.75,86.46875,8
2018-01-01 04:05:00,37.40625,85.18958333333333,8
2018-01-01 04:10:00,34.84375,85.55208333333333,8
2018-01-01 04:15:00,31.821428571428573,85.22619047619047,7
2018-01-01 04:20:00,28.816666666666666,85.55208333333334,8
2018-01-01 04:25:00,25.291666666666664,84.16666666666666,8
2018-01-01 04:30:00,27.1,85.18333333333332,10
2018-01-01 04:35:00,26.144642857142856,86.31507936507937,12
2018-01-01 04:40:00,27.008333333333333,85.84833333333333,10
2018-01-01 04:45:00,42.268928571428575,88.75071428571428,10
2018-01-01 04:50:00,35.34666666666667,88.25666666666666,10
2018-01-01 04:55:00,32.551904761904765,88.20690476190477,10
2018-01-01 05:00:00,33.05833333333334,90.95416666666667,8
2018-01-01 05:05:00,35.44166666666666,91.61874999999999,8
2018-01-01 05:10:00,35.108333333333334,90.70833333333333,10
2018-01-01 05:15:00,28.83333333333333,88.58333333333333,11
2018-01-01 05:20:00,25.199074074074073,87.09166666666667,9
2018-01-01 05:25:00,44.075,90.58958333333334,8
2018-01-01 05:30:00,44.46363636363637,91.37727272727273,11
2018-01-01 05:35:00,51.69084249084249,90.06080586080586,13
2018-01-01 05:40:00,50.371794871794876,90.17179487179487,13
2018-01-01 05:45:00,53.15151515151515,89.06363636363636,11
2018-01-01 05:50:00,47.673809523809524,88.69226190476189,12
2018-01-01 05:55:00,39.9,87.25,10
2018-01-01 06:00:00,50.31515151515152,88.81060606060606,11
